"application_type";"IND_num";"studyID"
"IND";"IND128336";"13615.07.04"
"IND";"IND128336";"FY19-018"
"IND";"IND128336";"FY19-037"
"IND";"IND128336";"FY19-088"
"IND";"IND128336";"FY19-100"
"IND";"IND128361";"TX96QK"
"IND";"IND128376";"5002304"
"IND";"IND128451";"2687-001"
"IND";"IND128470";"2072-009"
"IND";"IND128581";"5002537"
"IND";"IND128595";"18-1020"
"IND";"IND128595";"18-6002"
"IND";"IND128595";"20235453"
"IND";"IND128595";"tt181043"
"IND";"IND128609";"20268272"
"IND";"IND128609";"20277685"
"IND";"IND128609";"20281933"
"IND";"IND128624";"tt181030"
"IND";"IND128625";"950-118"
"IND";"IND128625";"950-122"
"IND";"IND128631";"950-118"
"IND";"IND128631";"950-122"
"IND";"IND128737";"0939-18"
"IND";"IND128748";"2688-006"
"IND";"IND128791";"ZYT-661"
"IND";"IND128791";"ZYT-779"
"IND";"IND128801";"8376621"
"IND";"IND128801";"8392063"
"IND";"IND128801";"8392734"
"IND";"IND128830";"18C321Q2R1G165"
"IND";"IND128830";"19C321Q1R1G171"
"IND";"IND128851";"20155082"
"IND";"IND128851";"20246050"
"IND";"IND128857";"1183-270"
"IND";"IND128865";"20134998"
"IND";"IND128941";"8393517"
"IND";"IND128941";"8401905"
"IND";"IND128947";"503594"
"IND";"IND128973";"20216261"
"IND";"IND128973";"20223621"
"IND";"IND128973";"20231529"
"IND";"IND128973";"20244973"
"IND";"IND128973";"20247892"
"IND";"IND128973";"20262984"
"IND";"IND128973";"TOX13392"
"IND";"IND128973";"TOX13751"
"IND";"IND128973";"TOX13826"
"IND";"IND129008";"8411380"
"IND";"IND129026";"B-8536"
"IND";"IND129026";"JB18537"
"IND";"IND129096";"1970218"
"IND";"IND129096";"1970337"
"IND";"IND129096";"1970477"
"IND";"IND129096";"1970551"
"IND";"IND129096";"8002291"
"IND";"IND129114";"20137260"
"IND";"IND129114";"20154575"
"IND";"IND129114";"20184443"
"IND";"IND129114";"2525-009"
"IND";"IND129114";"2525-010"
"IND";"IND129114";"6700530"
"IND";"IND129114";"8460472"
"IND";"IND129114";"8460473"
"IND";"IND129157";"059-007"
"IND";"IND129157";"059-008"
"IND";"IND129157";"059-009"
"IND";"IND129161";"20136029"
"IND";"IND129181";"20105131"
"IND";"IND129181";"8354053"
"IND";"IND129181";"8383488"
"IND";"IND129181";"8443271"
"IND";"IND129181";"8467308"
"IND";"IND129182";"20105131"
"IND";"IND129182";"8354053"
"IND";"IND129182";"8383488"
"IND";"IND129230";"20259609"
"IND";"IND129303";"39090"
"IND";"IND129303";"39102"
"IND";"IND129356";"SNBL.223.61"
"IND";"IND129387";"8333013"
"IND";"IND129387";"8333014"
"IND";"IND129387";"8345710"
"IND";"IND129387";"8404432"
"IND";"IND129428";"18-DA0527-0"
"IND";"IND129433";"5002653"
"IND";"IND129435";"2858-20256"
"IND";"IND129492";"FJ37MQ"
"IND";"IND129492";"HF36DM"
"IND";"IND129492";"PN76WH"
"IND";"IND129492";"PW88KG"
"IND";"IND129492";"RH17GJ"
"IND";"IND129492";"T105056-7"
"IND";"IND129493";"46951TCC"
"IND";"IND129495";"8380247"
"IND";"IND129495";"8380252"
"IND";"IND129559";"2.919E+11"
"IND";"IND129559";"2.919E+11"
"IND";"IND129559";"3.029E+11"
"IND";"IND129559";"3.029E+11"
